[NotebookApp | WARNING] No nbgrader_config.py file found (rerun with --debug to see where nbgrader is looking)
[NotebookApp | INFO] Loading the validate_assignment nbgrader serverextension
[NotebookApp | INFO] Serving notebooks from local directory: /Users/allat/Dropbox/ВШЭ - работа/Кафедра высшей математики/2019-2020/Python 3b
[NotebookApp | INFO] 0 active kernels
[NotebookApp | INFO] The Jupyter Notebook is running at:
[NotebookApp | INFO] http://localhost:8889/?token=26638060e8b6c497d077fafe9579377a2c402d9eb9f95d4d
[NotebookApp | INFO] Use Control-C to stop this server and shut down all kernels (twice to skip confirmation).
[NotebookApp | CRITICAL] 
    
    Copy/paste this URL into your browser when you connect for the first time,
    to login with a token:
        http://localhost:8889/?token=26638060e8b6c497d077fafe9579377a2c402d9eb9f95d4d&token=26638060e8b6c497d077fafe9579377a2c402d9eb9f95d4d
[NotebookApp | INFO] Accepting one-time-token-authenticated connection from ::1
[NotebookApp | INFO] Creating new notebook in 
[NotebookApp | INFO] Kernel started: 6140cfee-5e68-433d-af24-a0f0ff7dbb3a
[NotebookApp | INFO] Adapting to protocol v5.1 for kernel 6140cfee-5e68-433d-af24-a0f0ff7dbb3a
[NotebookApp | INFO] Saving file at /Untitled.ipynb
[NotebookApp | INFO] Saving file at /Untitled.ipynb
[NotebookApp | INFO] Saving file at /Untitled.ipynb
[NotebookApp | INFO] Saving file at /Untitled.ipynb
[NotebookApp | INFO] Saving file at /Untitled.ipynb
[NotebookApp | INFO] Saving file at /Untitled.ipynb
[NotebookApp | INFO] Saving file at /Untitled.ipynb
[NotebookApp | INFO] Saving file at /Untitled.ipynb
[NotebookApp | INFO] Saving file at /Untitled.ipynb
[NotebookApp | INFO] Saving file at /Untitled.ipynb
[NotebookApp | INFO] Saving file at /Untitled.ipynb
[NotebookApp | INFO] Saving file at /Untitled.ipynb
[NotebookApp | INFO] Saving file at /Untitled.ipynb
[NotebookApp | INFO] Saving file at /Untitled.ipynb
[NotebookApp | INFO] Saving file at /Untitled.ipynb
[NotebookApp | INFO] Saving file at /Untitled.ipynb
[NotebookApp | INFO] Saving file at /Untitled.ipynb
[NotebookApp | INFO] Saving file at /Untitled.ipynb
[NotebookApp | INFO] Saving file at /Untitled.ipynb
[NotebookApp | INFO] Saving file at /Untitled.ipynb
[NotebookApp | INFO] Saving file at /Untitled.ipynb
[NotebookApp | INFO] 302 GET / (::1) 0.72ms
[NotebookApp | INFO] Uploading file to /1.png
[NotebookApp | INFO] 302 GET /notebooks/1.png (::1) 1.25ms
[NotebookApp | INFO] Saving file at /Untitled.ipynb
[NotebookApp | INFO] Saving file at /Untitled.ipynb
[NotebookApp | WARNING] 404 GET /notebooks/2.png (::1): No such file or directory: 2.png
[NotebookApp | WARNING] 404 GET /notebooks/2.png (::1) 11.80ms referer=http://localhost:8889/notebooks/Untitled.ipynb?kernel_name=python3
[NotebookApp | INFO] Saving file at /Untitled.ipynb
[NotebookApp | INFO] Uploading file to /2.png
[NotebookApp | INFO] Uploading file to /3.png
[NotebookApp | INFO] 302 GET /notebooks/3.png (::1) 1.30ms
[NotebookApp | INFO] 302 GET /notebooks/2.png (::1) 1.41ms
[NotebookApp | INFO] Saving file at /Untitled.ipynb
[NotebookApp | INFO] Saving file at /Untitled.ipynb
[NotebookApp | INFO] Saving file at /Untitled.ipynb
[NotebookApp | INFO] Saving file at /Untitled.ipynb
[NotebookApp | INFO] Saving file at /Untitled.ipynb
[NotebookApp | INFO] Saving file at /slides.ipynb
[NotebookApp | INFO] Starting buffering for 6140cfee-5e68-433d-af24-a0f0ff7dbb3a:f769b9cf83ed42638a2fb59e636a6f8c
[NotebookApp | INFO] 302 GET /notebooks/1.png (::1) 0.97ms
[NotebookApp | INFO] 302 GET /notebooks/2.png (::1) 0.93ms
[NotebookApp | INFO] 302 GET /notebooks/3.png (::1) 0.71ms
[NotebookApp | INFO] Adapting to protocol v5.1 for kernel 6140cfee-5e68-433d-af24-a0f0ff7dbb3a
[NotebookApp | INFO] Saving file at /slides.ipynb
[NotebookApp | WARNING] No nbgrader_config.py file found. Rerun with DEBUG log level to see where nbgrader is looking.
[NotebookApp | INFO] Validating '/Users/allat/Dropbox/ВШЭ - работа/Кафедра высшей математики/2019-2020/Python 3b/slides.ipynb'
[NotebookApp | INFO] Executing notebook with kernel: python3
[NotebookApp | INFO] Saving file at /slides.ipynb
[NotebookApp | INFO] Starting buffering for 6140cfee-5e68-433d-af24-a0f0ff7dbb3a:e052e12a821d4921867a2ad9a5bed626
[NotebookApp | INFO] 302 GET /notebooks/1.png (::1) 1.11ms
[NotebookApp | INFO] 302 GET /notebooks/2.png (::1) 1.10ms
[NotebookApp | INFO] 302 GET /notebooks/3.png (::1) 1.40ms
[NotebookApp | INFO] Adapting to protocol v5.1 for kernel 6140cfee-5e68-433d-af24-a0f0ff7dbb3a
[NotebookApp | INFO] Saving file at /slides.ipynb
[NotebookApp | INFO] Starting buffering for 6140cfee-5e68-433d-af24-a0f0ff7dbb3a:4a7ea04a0015412b893cd9fbaf874b8c
[NotebookApp | INFO] 302 GET /notebooks/1.png (::1) 1.25ms
[NotebookApp | INFO] 302 GET /notebooks/2.png (::1) 1.08ms
[NotebookApp | INFO] 302 GET /notebooks/3.png (::1) 0.85ms
