"","group","female","spec","fav","assoc","cheer","grump","cheeze","tech","reaction"
"1","192","female","analysis","Chip","Chip",60,100,20,60,80
"2","192","female","management","Gadget","Gadget",90,100,50,60,90
"3","192","female","management","Gadget","Chip",75,90,100,95,87
"4","194","male","management","Dale","Dale",0,101,77,89,78.7
"5","192","female","analysis","Chip","Chip",40,90,80,70,20
"6","192","female","analysis","Gadget","Gadget",50,60,40,90,60
"7","194","male","management","Chip","Dale",100,50,40,50,80
"8","193","male","management","Dale","Gadget",50,100,0,40,60
"9","191","male","management","Other","Chip",75,60,85,70,80
"10","194","female","management","Gadget","Monty",95,54,100,75,89
"11","192","female","management","Dale","Chip",50,90,100,50,70
"12","194","male","management","Dale","Dale",0,101,77,89,78.7
"13","191","female","management","Chip","Chip",50,70,25,35,60
"14","193","male","management","Dale","Dale",75,50,100,0,0
"15","193","female","management","Other","Other",50,50,20,10,0
"16","192","female","analysis","Gadget","Chip",76,97,90,40,70
"17","191","female","management","Gadget","Gadget",70,5,80,65,75
"18","191","female","analysis","Gadget","Zipper",97,87,98,2,69
"19","194","male","management","Gadget","Dale",20,75,65,40,35
"20","191","female","management","Gadget","Other",80,80,100,0,70
"21","193","female","management","Monty","Monty",75,40,50,50,0
"22","191","female","management","Chip","Zipper",95,60,80,10,70
"23","193","female","analysis","Chip","Other",60,10,99,60,70
"24","191","male","analysis","Dale","Chip",70,45,99,75,65
"25","191","female","management","Gadget","Dale",70,90,100,50,60
"26","193","male","analysis","Gadget","Gadget",0,100,100,100,40
"27","192","female","management","Gadget","Gadget",80,60,100,0,75
"28","191","male","analysis","Dale","Chip",75,60,90,70,78
"29","194","female","management","Gadget","Gadget",80,60,50,90,20
"30","191","male","analysis","Gadget","Chip",90,100,60,100,30
"31","195","male","management","Zipper","Zipper",40,60,50,10,20
"32","195","male","management","Monty","Chip",40,50,100,80,100
"33","195","male","management","Dale","Dale",65,40,50,10,70
"34","193","male","management","Chip","Chip",80,101,50,25,75
"35","195","male","analysis","Gadget","Chip",70,100,100,100,95
"36","193","male","management","Dale","Chip",75,100,100,80,65
"37","195","male","management","Other","Other",100,40,40,100,100
"38","191","male","management","Chip","Dale",70,70,100,50,70
"39","191","male","analysis","Monty","Monty",90,20,50,0,99
"40","195","female","analysis","Zipper","Gadget",40,100,30,60,86
"41","193","female","analysis","Chip","Gadget",25,90,0,80,60
"42","194","female","management","Gadget","Gadget",40,80,70,50,10
"43","194","male","management","Chip","Monty",95,100,100,65,30
"44","194","female","analysis","Chip","Gadget",20,62,30,73,79
"45","194","female","analysis","Gadget","Dale",50,50,70,10,5
"46","194","female","analysis","Gadget","Dale",100,74,100,44,76
"47","194","male","management","Monty","Chip",70,80,100,70,50
"48","191","female","management","Gadget","Other",80,80,100,0,70
"49","193","female","analysis","Gadget","Gadget",50,50,60,60,60
"50","191","female","management","Gadget","Gadget",70,5,80,65,75
"51","195","male","management","Zipper","Zipper",40,60,50,10,20
"52","192","female","analysis","Chip","Monty",75,100,60,60,70
"53","192","male","management","Chip","Dale",40,60,70,65,65
"54","192","female","management","Gadget","Monty",60,50,70,40,50
"55","192","female","management","Gadget","Gadget",50,65,100,10,75
"56","192","female","analysis","Gadget","Chip",75,10,100,50,70
"57","prepod","female","analysis","Gadget","Chip",60,90,90,60,40
"58","prepod","female","analysis","Gadget","Chip",50,100,70,98,86
"59","192","male","management","Gadget","Gadget",100,40,20,100,70
"60","192","male","analysis","Monty","Chip",30,60,40,20,40
"61","192","male","analysis","Monty","Chip",22,87,95,5,1
"62","191","male","management","Dale","Chip",90,40,10,5,70
"63","192","female","management","Chip","Monty",50,50,99,60,60
"64","191","female","management","Gadget","Gadget",20,70,100,70,80
"65","194","male","management","Chip","Chip",40,70,70,35,88
"66","195","female","management","Gadget","Dale",100,80,60,25,55
"67","195","female","management","Other","Other",70,45,30,60,80
"68","193","male","analysis","Dale","Dale",100,50,75,20,2
"69","193","male","analysis","Zipper","Zipper",20,47,23,7,68
"70","195","female","management","Gadget","Dale",100,9.99,40,70,80
"71","193","male","analysis","Chip","Dale",0.01,1000,50,20,0
"72","193","female","analysis","Gadget","Gadget",60,50,100,90,90
"73","194","female","management","Chip","Chip",48,99.9,101,21,83
"74","193","female","analysis","Dale","Gadget",60,50,50,10,10
