,ctry,fh09,polity09,gini,fparl08,mena,lati,cari,east,sovi,afri,corr0509
0,Afghanistan,6.0,0.0,,25.87,0,0,0,0,0,0,-1.55091002130689
1,Albania,3.0,9.0,33.0,7.14,0,0,0,0,1,0,-0.580512657366048
2,Algeria,5.5,2.0,35.3,6.48,1,0,0,0,0,0,-0.434653889660585
3,American Samoa,,,,,0,0,0,0,0,0,0.442990611117933
4,Andorra,1.0,,,25.0,0,0,0,0,0,0,1.30776669040672
5,Angola,5.5,-2.0,58.6,37.27,0,0,0,0,0,0,-1.29268423917956
6,Antigua and Barbuda,2.5,,,16.67,0,0,1,0,0,0,1.20821391940379
7,Argentina,2.0,8.0,48.8,39.76,0,1,0,0,0,0,-0.420792604806339
8,Armenia,5.0,5.0,30.2,8.4,0,0,0,0,0,0,-0.578210931915514
9,Aruba,,,,,0,0,1,0,0,0,1.25515564605686
10,Australia,1.0,10.0,35.2,29.65,0,0,0,0,0,0,1.97929304224882
11,Austria,1.0,10.0,29.1,26.64,0,0,0,0,0,0,1.90384092809486
12,Azerbaijan,5.5,-7.0,16.8,11.38,0,0,0,0,0,0,-1.02676724117019
13,"Bahamas, The",1.0,,,25.0,0,0,1,0,0,0,1.36312197975176
14,Bahrain,5.5,-7.0,,13.75,1,0,0,0,0,0,0.368444796447932
15,Bangladesh,3.5,5.0,31.0,6.33,0,0,0,0,0,0,-1.21859465429665
16,Barbados,1.0,,,13.73,0,0,1,0,0,0,1.3138115224847
17,Belarus,6.5,-7.0,28.8,32.53,0,0,0,0,0,0,-0.76558628966688
18,Belgium,1.0,8.0,33.0,36.2,0,0,0,0,0,0,1.32983978910366
19,Belize,1.5,,59.6,11.11,0,0,1,0,0,0,-0.273784619774411
20,Benin,2.0,7.0,38.6,10.84,0,0,0,0,0,1,-0.60802770097789
21,Bermuda,,,,,0,0,1,0,0,0,1.30776669040672
22,Bhutan,4.5,3.0,,13.89,0,0,0,0,0,0,0.754890153162117
23,Bolivia,3.0,7.0,57.2,14.65,0,1,0,0,0,0,-0.585376005238764
24,Bosnia and Herzegovina,3.5,0.0,36.3,12.28,0,0,0,0,1,0,-0.289637641267003
25,Botswana,2.5,8.0,61.0,11.11,0,0,0,0,0,1,0.947725044959508
26,Brazil,2.0,8.0,55.0,9.43,0,1,0,0,0,0,-0.119536146168395
27,Brunei Darussalam,5.5,,,,0,0,0,1,0,0,0.44270502041393
28,Bulgaria,2.0,9.0,29.2,21.67,0,0,0,0,1,0,-0.0693627001462635
29,Burkina Faso,4.0,0.0,39.6,15.32,0,0,0,0,0,1,-0.326493561352074
30,Burundi,4.5,6.0,33.3,31.74,0,0,0,0,0,1,-1.09580153495147
31,Cambodia,5.5,2.0,44.2,15.76,0,0,0,1,0,0,-1.15123347866929
32,Cameroon,6.0,-4.0,44.6,13.89,0,0,0,0,0,1,-1.00036172716248
33,Canada,1.0,10.0,32.6,24.94,0,0,0,0,0,0,1.9425386763598
34,Cape Verde,1.0,,50.4,18.06,0,0,0,0,0,1,0.62250817207334
35,Cayman Islands,,,,,0,0,1,0,0,0,1.15844413885019
36,Central African Republic,5.0,-1.0,43.6,10.48,0,0,0,0,0,1,-0.994799104628708
37,Chad,6.5,-2.0,39.8,5.16,0,0,0,0,0,1,-1.34688028178994
38,Channel Islands,,,,,0,0,0,0,0,0,
39,Chile,1.0,10.0,52.0,12.66,0,1,0,0,0,0,1.37052415615982
40,China,6.5,-7.0,41.5,21.33,0,0,0,1,0,0,-0.568752346006251
41,Colombia,3.5,7.0,58.5,9.7,0,1,0,0,0,0,-0.18760520182586
42,Comoros,3.5,9.0,64.3,3.03,0,0,0,0,0,1,-0.709136429509675
43,"Congo, Dem. Rep.",6.0,5.0,44.4,7.73,0,0,0,0,0,1,-1.42807369539018
44,"Congo, Rep.",5.5,-4.0,47.3,9.18,0,0,0,0,0,1,-1.11311783391179
45,Costa Rica,1.0,10.0,48.9,36.84,0,1,0,0,0,0,0.483972844799745
46,Cote d'Ivoire,5.5,0.0,48.4,8.87,0,0,0,0,0,1,-1.19893336491311
47,Croatia,1.5,9.0,29.0,20.92,0,0,0,0,1,0,0.120586549241863
48,Cuba,6.5,-7.0,,43.16,0,1,0,0,0,0,0.128067682895955
49,Cyprus,1.0,10.0,,14.29,0,0,0,0,0,0,1.03531833442187
50,Czech Republic,1.0,8.0,25.8,16.01,0,0,0,0,1,0,0.422967221441479
51,Denmark,1.0,10.0,24.7,37.99,0,0,0,0,0,0,2.37832399823762
52,Djibouti,5.0,2.0,39.9,13.85,0,0,0,0,0,1,-0.441196554038114
53,Dominica,1.0,,,18.75,0,0,1,0,0,0,0.714093984669521
54,Dominican Republic,2.0,8.0,48.4,17.14,0,1,0,0,0,0,-0.618924194031764
55,Ecuador,3.0,5.0,54.4,25.0,0,1,0,0,0,0,-0.866716417178142
56,"Egypt, Arab Rep.",5.5,-3.0,32.1,3.68,1,0,0,0,0,0,-0.579147171136404
57,El Salvador,2.5,8.0,46.9,16.67,0,1,0,0,0,0,-0.288100008655349
58,Equatorial Guinea,7.0,-5.0,,6.0,0,0,0,0,0,1,-1.60663186696004
59,Eritrea,7.0,-7.0,,22.0,0,0,0,0,0,1,-0.252516231830349
60,Estonia,1.0,9.0,36.0,20.79,0,0,0,0,0,0,0.975601676905677
61,Ethiopia,5.0,1.0,29.8,21.37,0,0,0,0,0,1,-0.680256551531292
62,Faeroe Islands,,,,,0,0,0,0,0,0,
63,Fiji,5.0,-4.0,,,0,0,0,0,0,0,-0.50497872669322
64,Finland,1.0,10.0,26.9,41.5,0,0,0,0,0,0,2.33507215266569
65,France,1.0,9.0,32.7,19.57,0,0,0,0,0,0,1.41647265610532
66,French Polynesia,,,,,0,0,0,0,0,0,
67,Gabon,5.5,3.0,41.5,16.11,0,0,0,0,0,1,-0.856972967867437
68,"Gambia, The",5.0,-5.0,47.3,9.43,0,0,0,0,0,1,-0.691870837223396
69,Georgia,4.0,6.0,40.8,6.0,0,0,0,0,0,0,-0.200421189890411
70,Germany,1.0,10.0,28.3,31.13,0,0,0,0,0,0,1.7450199359286
71,Ghana,1.5,8.0,42.8,7.89,0,0,0,0,0,1,-0.0312243821673234
72,Gibraltar,,,,,0,0,0,0,0,0,
