year,country,countryn,iso,iso3n,cpds1,poco,eu,emu,gov_right1,gov_cent1,gov_left1,gov_party,gov_new,gov_gap,gov_chan,gov_right2,gov_cent2,gov_left2,gov_right3,gov_cent3,gov_left3,gov_sup,gov_type,year_01,country_01,elect,vturn,social1,social2,social3,social4,social5,social6,social7,social8,leftsoc1,leftsoc2,leftsoc3,leftsoc4,leftsoc5,comm1,comm2,comm3,comm4,postcom1,postcom2,agrarian1,agrarian2,agrarian3,conserv1,conserv2,conserv3,conserv4,conserv5,conserv6,conserv7,conserv8,relig1,relig2,relig3,relig4,relig5,relig6,relig7,liberal1,liberal2,liberal3,liberal4,liberal5,liberal6,liberal7,liberal8,liberal9,protest1,protest2,protest3,protest4,protest5,green1,green2,green3,ethnic1,ethnic2,ethnic3,ethnic4,right1,right2,right3,right4,right5,regio1,femin1,monarch1,person1,pension1,pension2,nonlbl1,nonlbl2,allia1,allia2,allia3,others,year_02,country_02,ssocial1,ssocial2,ssocial3,ssocial4,ssocial5,ssocial6,ssocial7,ssocial8,sleftsoc1,sleftsoc2,sleftsoc3,sleftsoc4,sleftsoc5,scomm1,scomm2,scomm3,scomm4,spostcom1,spostcom2,sagrarian1,sagrarian2,sagrarian3,sconserv1,sconserv2,sconserv3,sconserv4,sconserv5,sconserv6,sconserv7,sconserv8,srelig1,srelig2,srelig3,srelig4,srelig5,srelig6,srelig7,sliberal1,sliberal2,sliberal3,sliberal4,sliberal5,sliberal6,sliberal7,sliberal8,sliberal9,sprotest1,sprotest2,sprotest3,sprotest4,sprotest5,sgreen1,sgreen2,sgreen3,sethnic1,sethnic2,sethnic3,sethnic4,sright1,sright2,sright3,sright4,sright5,sregio1,sfemin1,smonarch1,sperson1,spension1,spension2,snonlbl1,snonlbl2,sallia1,sallia2,sallia3,sothers,year_03,country_03,womenpar,rae_ele,rae_leg,effpar_ele,effpar_leg,dis_abso,dis_rel,dis_gall,year_04,country_04,lfirst,lsec,leff,lmin,lexe,ldis,lint,lfed,lbic,lrid,ljud,lbank,lfirstp,lfirstpi,lfirstpb,year_05,country_05,instcons,structur,fed,pres,prop,bic,referen,dir,judrev,year_06,country_06,kaopen,openc,outlays,receipts,realgdpgr,nomgdpgr,inflation,debt,debt_hist,deficit,pbal,capb,interest,curac,year_07,country_07,ttl_labf,civ_labf,emp_civ,labfopar,empratio,emp_ag,emp_ind,emp_serv,emp_un,unemp,year_08,country_08,nld,wi,wdlost,strike,grossu,netu,ud,adjcov,grossu_ipol,netu_ipol,ud_ipol,adjcov_ipol,year_09,country_09,sstran,socexp_t_pmp,socexp_c_pmp,socexp_k_pmp,oldage_pmp,survivor_pmp,incapben_pmp,health_pmp,family_pmp,almp_pmp,unemp_pmp,housing_pmp,othsocx_pmp,year_10,country_10,educexp_gov,educexp_gov_ipol,educexp_public,educexp_public_ipol,educexp_private,educexp_private_ipol,educatt_minimal,educatt_minimal_ipol,educatt_tertiary,educatt_tertiary_ipol,year_11,country_11,fallow_pmp,mpleave_pmp,othfam_c_pmp,childcare_pmp,homehelp_pmp,othfam_k_pmp,servadmi_pmp,training_pmp,jobrot_pmp,incent_pmp,disabled_pmp,jobcrea_pmp,startup_pmp,compen_pmp,earretir_pmp,year_12,country_12,emprot_reg,emprot_temp,prefisc_gini,pretran_gini,postfisc_gini,pop,pop15_64,pop65,elderly,year_13,country_13
1960,Australia,1,AUS,36,1,0,0,0,"100,00","0,00","0,00",1,0,0,0,"100,00","0,00","0,00","63,10","0,00","0,00","63,10",2,1960,Australia,,"95,5","42,8","7,8","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","9,3","0,0","0,0","37,2","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,00","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","2,9",1960,Australia,"36,9","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","15,6","0,0","0,0","47,5","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,00","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",1960,Australia,"0,0","0,66","0,61","2,97","2,59","0,38","0,13","10,99",1960,Australia,"-0,73","1,63","2,22","80,7","9,10","9,44","2,12","5,0","4,0","4,0","3,0","0,42",,,,1960,Australia,3,4,1,0,1,"4,0",0,,1,1960,Australia,,"27,43",,"21,58",,,"3,73",,"40,15","0,46","1,64",,,"-3,70",1960,Australia,"4215,00","4163,00","4104,00",,,"452,00","1597,00","2055,00","51,46","1,25",1960,Australia,"1145,00","603,30","725,11","172,03","1682,80","1682,80","50,17","92,00","1682,80","1682,80","50,17","92,00",1960,Australia,"5,50",,,,,,,,,,,,,1960,Australia,,,,,,,,,,,1960,Australia,,,,,,,,,,,,,,,,1960,Australia,,,,,,"10275,00","6296,50","874,90","8,51",1960,Australia
1961,Australia,1,AUS,36,1,0,0,0,"100,00","0,00","0,00",1,0,0,1,"100,00","0,00","0,00","62,80","0,00","0,00","62,80",2,1961,Australia,09.12.1961,"95,3","47,9","7,6","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","8,5","0,0","0,0","33,6","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,00","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","2,4",1961,Australia,"49,2","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","13,9","0,0","0,0","36,9","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,00","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",1961,Australia,"0,0","0,64","0,60","2,81","2,52","0,30","0,11","7,05",1961,Australia,,,,,,,,,,,,,,,,1961,Australia,3,4,1,0,1,"4,0",0,,1,1961,Australia,,"26,60",,"21,16","0,04","0,91","2,29",,"38,62","-0,36","1,52",,,"-0,15",1961,Australia,"4286,00","4234,00","4116,00",,,"450,00","1551,00","2115,00","102,92","2,46",1961,Australia,"815,00","300,40","606,81","141,58","1667,20","1667,20","49,47",,"1667,20","1667,20","49,47","91,57",1961,Australia,"6,10",,,,,,,,,,,,,1961,Australia,,,,,,,,,,,1961,Australia,,,,,,,,,,,,,,,,1961,Australia,,,,,,"10508,20","6428,60","894,60","8,51",1961,Australia
1962,Australia,1,AUS,36,1,0,0,0,"100,00","0,00","0,00",1,0,0,0,"100,00","0,00","0,00","50,80","0,00","0,00","50,80",2,1962,Australia,,"95,3","47,9","7,6","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","8,5","0,0","0,0","33,6","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,00","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","2,4",1962,Australia,"49,2","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","13,9","0,0","0,0","36,9","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,00","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",1962,Australia,"0,0","0,64","0,60","2,81","2,52","0,30","0,11","7,05",1962,Australia,,,,,,,,,,,,,,,,1962,Australia,3,4,1,0,1,"4,0",0,,1,1962,Australia,,"26,85","23,17","21,65","5,47","6,17","-0,32",,"38,75","-0,79","0,57",,,"-0,86",1962,Australia,"4382,00","4330,00","4216,00",,,"449,00","1604,00","2163,00","99,43","2,32",1962,Australia,"1183,00","353,90","508,76","116,10","1716,40","1716,40","49,52",,"1716,40","1716,40","49,52","91,13",1962,Australia,"6,00",,,,,,,,,,,,,1962,Australia,,,,,,,,,,,1962,Australia,,,,,,,,,,,,,,,,1962,Australia,,,,,,"10700,50","6571,50","913,60","8,54",1962,Australia
1963,Australia,1,AUS,36,1,0,0,0,"100,00","0,00","0,00",1,0,0,1,"100,00","0,00","0,00","51,14","0,00","0,00","51,14",2,1963,Australia,30.11.1963,"95,7","45,5","7,4","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","8,9","0,0","0,0","37,1","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,00","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,1",1963,Australia,"41,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","16,4","0,0","0,0","42,6","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,00","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",1963,Australia,"0,0","0,64","0,62","2,79","2,66","0,14","0,05","8,99",1963,Australia,,,,,,,,,,,,,,,,1963,Australia,3,4,1,0,1,"4,0",0,,1,1963,Australia,,"28,72","23,01","21,71","6,14","9,16","0,64",,"37,34","-0,51","0,83",,,"-0,17",1963,Australia,"4484,00","4432,00","4338,00",,,"449,00","1648,00","2241,00","81,98","1,87",1963,Australia,"1250,00","412,70","581,57","129,70","1763,00","1763,00","49,16","90,70","1763,00","1763,00","49,16","90,70",1963,Australia,"5,90",,,,,,,,,,,,,1963,Australia,,,,,,,,,,,1963,Australia,,,,,,,,,,,,,,,,1963,Australia,,,,,,"10906,90","6710,90","933,00","8,55",1963,Australia
1964,Australia,1,AUS,36,1,0,0,0,"100,00","0,00","0,00",1,0,0,0,"100,00","0,00","0,00","59,00","0,00","0,00","59,00",2,1964,Australia,,"95,7","45,5","7,4","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","8,9","0,0","0,0","37,1","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,00","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,1",1964,Australia,"41,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","16,4","0,0","0,0","42,6","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,00","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",1964,Australia,"0,0","0,64","0,62","2,79","2,66","0,14","0,05","8,99",1964,Australia,,,,,,,,,,,,,,,,1964,Australia,3,4,1,0,1,"4,0",0,,1,1964,Australia,,"28,50","22,88","22,25","6,20","9,82","2,87",,"35,31","-0,08","1,43",,,"-1,19",1964,Australia,"4558,75","4558,80","4495,50","67,24","65,56","456,00","1725,00","2314,50","66,28","1,45",1964,Australia,"1334,00","545,60","911,36","199,91","1808,20","1808,20","48,19",,"1808,20","1808,20","48,19","90,22",1964,Australia,"5,70",,,,,,,,,,,,,1964,Australia,,,,,,,,,,,1964,Australia,,,,,,,,,,,,,,,,1964,Australia,,,,,,"11121,60","6857,30","948,10","8,52",1964,Australia
1965,Australia,1,AUS,36,1,0,0,0,"100,00","0,00","0,00",1,0,0,0,"100,00","0,00","0,00","59,00","0,00","0,00","59,00",2,1965,Australia,,"95,7","45,5","7,4","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","8,9","0,0","0,0","37,1","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,00","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,1",1965,Australia,"41,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","16,4","0,0","0,0","42,6","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,00","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",1965,Australia,"0,0","0,64","0,62","2,79","2,66","0,14","0,05","8,99",1965,Australia,,,,,,,,,,,,,,,,1965,Australia,3,4,1,0,1,"4,0",0,,1,1965,Australia,,"28,08","24,90","23,51","5,02","7,50","3,41",,"53,99","-0,73","0,68",,,"-3,60",1965,Australia,"4813,00","4688,95","4628,25","67,66","65,98","454,00","1775,00","2399,25","64,18","1,36",1965,Australia,"1346,00","475,00","815,87","169,51","1862,30","1862,30","47,89",,"1862,30","1862,30","47,89","89,74",1965,Australia,"5,80",,,,,,,,,,,,,1965,Australia,,,,,,,,,,,1965,Australia,,,,,,,,,,,,,,,,1965,Australia,,,,,,"11340,90","7014,60","966,30","8,52",1965,Australia
1966,Australia,1,AUS,36,1,0,0,0,"100,00","0,00","0,00",1,0,0,2,"100,00","0,00","0,00","59,35","0,00","0,00","59,35",2,1966,Australia,26.11.1966,"95,1","40,0","7,3","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","9,8","0,0","0,0","40,1","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,00","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","2,8",1966,Australia,"33,1","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","16,9","0,0","0,0","49,2","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,00","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,8",1966,Australia,"0,8","0,66","0,62","2,98","2,63","0,35","0,12","10,82",1966,Australia,,,,,,,,,,,,,,,,1966,Australia,3,4,1,0,1,"4,0",0,,1,1966,Australia,,"26,80","26,06","23,16","2,93","7,01","3,29",,"52,51","-1,81","-0,28",,,"-2,01",1966,Australia,"4890,25","4861,63","4785,15","66,38","65,30","430,00","1793,00","2562,15","83,12","1,69",1966,Australia,"1273,00","394,90","732,08","149,70","1868,70","1868,70","45,84",,"1868,70","1868,70","45,84","89,26",1966,Australia,"5,70",,,,,,,,,,,,,1966,Australia,,,,,,,,,,,1966,Australia,,,,,,,,,,,,,,,,1966,Australia,,,,,,"11599,50","7193,52","986,27","8,50",1966,Australia
1967,Australia,1,AUS,36,1,0,0,0,"100,00","0,00","0,00",1,0,0,1,"100,00","0,00","0,00","66,10","0,00","0,00","66,10",2,1967,Australia,,"95,1","40,0","7,3","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","9,8","0,0","0,0","40,1","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,00","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","2,8",1967,Australia,"33,1","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","16,9","0,0","0,0","49,2","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,00","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,8",1967,Australia,"0,8","0,66","0,62","2,98","2,63","0,35","0,12","10,82",1967,Australia,,,,,,,,,,,,,,,,1967,Australia,3,4,1,0,1,"4,0",0,,1,1967,Australia,,"26,80","26,35","23,32","7,19","10,69","3,48",,"49,96","-1,81","-0,45",,,"-2,51",1967,Australia,"5022,50","5022,52","4928,00","66,54","65,37","429,00","1828,00","2671,00","91,54","1,82",1967,Australia,"1340,00","483,30","705,32","140,43","1893,10","1893,10","45,02",,"1893,10","1893,10","45,02","88,78",1967,Australia,"5,60",,,,,,,,,,,,,1967,Australia,,,,,,,,,,,1967,Australia,,,,,,,,,,,,,,,,1967,Australia,,,,,,"11799,08","7344,23","999,60","8,47",1967,Australia
1968,Australia,1,AUS,36,1,0,0,0,"100,00","0,00","0,00",1,0,0,1,"100,00","0,00","0,00","66,10","0,00","0,00","66,10",2,1968,Australia,,"95,1","40,0","7,3","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","9,8","0,0","0,0","40,1","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,00","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","2,8",1968,Australia,"33,1","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","16,9","0,0","0,0","49,2","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,00","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,8",1968,Australia,"0,8","0,66","0,62","2,98","2,63","0,35","0,12","10,82",1968,Australia,,,,,,,,,,,,,,,,1968,Australia,3,4,1,0,1,"4,0",0,,1,1968,Australia,,"25,30","26,52","24,03","5,34","9,10","2,52",,"48,69","-1,35","-0,04",,,"-3,56",1968,Australia,"5140,25","5140,05","5046,23","66,68","65,62","440,00","1867,00","2739,23","85,22","1,65",1968,Australia,"1713,00","720,30","1079,46","210,00","1939,40","1939,40","44,79","88,30","1939,40","1939,40","44,79","88,30",1968,Australia,"5,10",,,,,,,,,,,,,1968,Australia,,,,,,,,,,,1968,Australia,,,,,,,,,,,,,,,,1968,Australia,,,,,,"12008,63","7508,21","1014,01","8,44",1968,Australia
1969,Australia,1,AUS,36,1,0,0,0,"100,00","0,00","0,00",1,0,0,1,"100,00","0,00","0,00","64,24","0,00","0,00","64,24",2,1969,Australia,25.10.1969,"95,0","47,0","6,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","8,6","0,0","0,0","34,8","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,00","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","3,6",1969,Australia,"47,2","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","16,0","0,0","0,0","36,8","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,00","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",1969,Australia,"0,0","0,65","0,62","2,83","2,61","0,23","0,08","6,88",1969,Australia,,,,,,,,,,,,,"-0,64","-0,94","-0,15",1969,Australia,3,4,1,0,1,"4,0",0,,1,1969,Australia,,"26,21","25,05","24,30","6,21","12,38","3,28",,"45,50","-0,15","1,31",,,"-1,90",1969,Australia,"5283,75","5283,73","5187,60","66,64","65,64","415,00","1907,00","2865,60","83,12","1,57",1969,Australia,"2014,00","1285,20","1958,00","370,57","1979,70","1979,70","44,38",,"1979,70","1979,70","44,38","87,82",1969,Australia,"5,40",,,,,,,,,,,,,1969,Australia,,,,,,,,,,,1969,Australia,,,,,,,,,,,,,,,,1969,Australia,,,,,,"12263,01","7689,76","1026,69","8,37",1969,Australia
