"","X","ID","Name","NumberOfPersons","global_id","Year","Month","Sex","Name_en","Month_en"
"1",1,1,"Мария",252,37750254,2015,"январь","female","Mariya","yanvarʹ"
"2",2,2,"Анастасия",224,37750255,2015,"январь","female","Anastasiya","yanvarʹ"
"3",3,3,"Анна",190,37750256,2015,"январь","female","Anna","yanvarʹ"
"4",4,4,"Варвара",190,37750257,2015,"январь","female","Varvara","yanvarʹ"
"5",5,5,"Виктория",186,37750258,2015,"январь","female","Viktoriya","yanvarʹ"
"6",6,6,"Полина",176,62368403,2015,"январь","female","Polina","yanvarʹ"
"7",7,7,"Алиса",175,62368404,2015,"январь","female","Alisa","yanvarʹ"
"8",8,8,"София",172,62368405,2015,"январь","female","Sofiya","yanvarʹ"
"9",9,9,"Елизавета",165,62368406,2015,"январь","female","Yelizaveta","yanvarʹ"
"10",10,10,"Дарья",156,62368407,2015,"январь","female","Darʹya","yanvarʹ"
"11",11,11,"Александра",147,62368408,2015,"январь","female","Aleksandra","yanvarʹ"
"12",12,12,"Ксения",146,62368409,2015,"январь","female","Kseniya","yanvarʹ"
"13",13,13,"Екатерина",118,62368410,2015,"январь","female","Yekaterina","yanvarʹ"
"14",14,14,"Арина",112,62368411,2015,"январь","female","Arina","yanvarʹ"
"15",15,15,"Софья",103,62368412,2015,"январь","female","Sofʹya","yanvarʹ"
"16",16,16,"Милана",101,62368413,2015,"январь","female","Milana","yanvarʹ"
"17",17,17,"Вероника",98,62368414,2015,"январь","female","Veronika","yanvarʹ"
"18",18,18,"Валерия",97,62368415,2015,"январь","female","Valeriya","yanvarʹ"
"19",19,19,"Василиса",97,62368416,2015,"январь","female","Vasilisa","yanvarʹ"
"20",20,20,"Ева",90,62368417,2015,"январь","female","Yeva","yanvarʹ"
"21",21,21,"Ульяна",68,62368418,2015,"январь","female","Ulʹyana","yanvarʹ"
"22",22,22,"Кира",63,62368419,2015,"январь","female","Kira","yanvarʹ"
"23",23,23,"Татьяна",56,62368420,2015,"январь","female","Tatʹyana","yanvarʹ"
"24",24,24,"Маргарита",55,62368421,2015,"январь","female","Margarita","yanvarʹ"
"25",25,25,"Таисия",55,62368422,2015,"январь","female","Taisiya","yanvarʹ"
"26",26,26,"Алёна",52,62368423,2015,"январь","female","Alëna","yanvarʹ"
"27",27,27,"Кристина",48,62368424,2015,"январь","female","Kristina","yanvarʹ"
"28",28,28,"Алина",48,62368425,2015,"январь","female","Alina","yanvarʹ"
"29",29,29,"Ольга",46,62368426,2015,"январь","female","Olʹga","yanvarʹ"
"30",30,30,"Вера",45,62368427,2015,"январь","female","Vera","yanvarʹ"
"31",31,31,"Евгения",42,62368428,2015,"январь","female","Yevgeniya","yanvarʹ"
"32",32,32,"Юлия",41,62368429,2015,"январь","female","Yuliya","yanvarʹ"
