"","X.1","X","ID","Name","NumberOfPersons","global_id","Year","Month","Sex","Name_en","Month_en"
"7201",7201,7201,1,"Александр",253,37750243,2015,"январь","male","Aleksandr","yanvarʹ"
"7202",7202,7202,2,"Михаил",247,37750244,2015,"январь","male","Mikhail","yanvarʹ"
"7203",7203,7203,3,"Иван",226,37750245,2015,"январь","male","Ivan","yanvarʹ"
"7204",7204,7204,4,"Максим",208,37750246,2015,"январь","male","Maksim","yanvarʹ"
"7205",7205,7205,5,"Артём",190,37750247,2015,"январь","male","Artëm","yanvarʹ"
"7206",7206,7206,6,"Даниил",171,62361364,2015,"январь","male","Daniil","yanvarʹ"
"7207",7207,7207,7,"Дмитрий",164,62361365,2015,"январь","male","Dmitriy","yanvarʹ"
"7208",7208,7208,8,"Кирилл",151,62361366,2015,"январь","male","Kirill","yanvarʹ"
"7209",7209,7209,9,"Андрей",130,62361367,2015,"январь","male","Andrey","yanvarʹ"
"7210",7210,7210,10,"Егор",126,62361368,2015,"январь","male","Yegor","yanvarʹ"
"7211",7211,7211,11,"Илья",122,62361369,2015,"январь","male","Ilʹya","yanvarʹ"
"7212",7212,7212,12,"Алексей",108,62361370,2015,"январь","male","Aleksey","yanvarʹ"
"7213",7213,7213,13,"Владимир",107,62361371,2015,"январь","male","Vladimir","yanvarʹ"
"7214",7214,7214,14,"Матвей",102,62361372,2015,"январь","male","Matvey","yanvarʹ"
"7215",7215,7215,15,"Тимофей",102,62361373,2015,"январь","male","Timofey","yanvarʹ"
"7216",7216,7216,16,"Ярослав",91,62361374,2015,"январь","male","Yaroslav","yanvarʹ"
"7217",7217,7217,17,"Роман",90,62361375,2015,"январь","male","Roman","yanvarʹ"
"7218",7218,7218,18,"Фёдор",87,62361376,2015,"январь","male","Fëdor","yanvarʹ"
"7219",7219,7219,19,"Никита",87,62361377,2015,"январь","male","Nikita","yanvarʹ"
"7220",7220,7220,20,"Марк",85,62361378,2015,"январь","male","Mark","yanvarʹ"
"7221",7221,7221,21,"Сергей",84,62361379,2015,"январь","male","Sergey","yanvarʹ"
"7222",7222,7222,22,"Николай",70,62361380,2015,"январь","male","Nikolay","yanvarʹ"
"7223",7223,7223,23,"Владислав",63,62361381,2015,"январь","male","Vladislav","yanvarʹ"
"7224",7224,7224,24,"Степан",61,62361382,2015,"январь","male","Stepan","yanvarʹ"
"7225",7225,7225,25,"Глеб",57,62361383,2015,"январь","male","Gleb","yanvarʹ"
"7226",7226,7226,26,"Лев",51,62361384,2015,"январь","male","Lev","yanvarʹ"
"7227",7227,7227,27,"Павел",51,62361385,2015,"январь","male","Pavel","yanvarʹ"
"7228",7228,7228,28,"Евгений",50,62361387,2015,"январь","male","Yevgeniy","yanvarʹ"
"7229",7229,7229,29,"Арсений",49,62361388,2015,"январь","male","Arseniy","yanvarʹ"
"7230",7230,7230,30,"Константин",49,62361389,2015,"январь","male","Konstantin","yanvarʹ"
"7231",7231,7231,31,"Георгий",48,62361390,2015,"январь","male","Georgiy","yanvarʹ"
"7232",7232,7232,32,"Григорий",46,62361392,2015,"январь","male","Grigoriy","yanvarʹ"
"7233",7233,7233,33,"Тимур",44,62361393,2015,"январь","male","Timur","yanvarʹ"
"7234",7234,7234,34,"Макар",40,62361394,2015,"январь","male","Makar","yanvarʹ"
"7235",7235,7235,35,"Игорь",39,62361396,2015,"январь","male","Igorʹ","yanvarʹ"
"7236",7236,7236,36,"Руслан",36,62361397,2015,"январь","male","Ruslan","yanvarʹ"
"7237",7237,7237,37,"Пётр",36,62361398,2015,"январь","male","Pëtr","yanvarʹ"
"7238",7238,7238,38,"Виктор",35,62361400,2015,"январь","male","Viktor","yanvarʹ"
"7239",7239,7239,39,"Денис",35,62361401,2015,"январь","male","Denis","yanvarʹ"
"7240",7240,7240,40,"Семён",34,62361402,2015,"январь","male","Semën","yanvarʹ"
"7241",7241,7241,41,"Платон",33,62361404,2015,"январь","male","Platon","yanvarʹ"
"7242",7242,7242,42,"Артемий",32,62361405,2015,"январь","male","Artemiy","yanvarʹ"
"7243",7243,7243,43,"Богдан",31,62361406,2015,"январь","male","Bogdan","yanvarʹ"
"7244",7244,7244,44,"Василий",30,62361407,2015,"январь","male","Vasiliy","yanvarʹ"
"7245",7245,7245,45,"Юрий",30,62361409,2015,"январь","male","Yuriy","yanvarʹ"
"7246",7246,7246,46,"Давид",29,62361410,2015,"январь","male","David","yanvarʹ"
"7247",7247,7247,47,"Данила",29,62361411,2015,"январь","male","Danila","yanvarʹ"
"7248",7248,7248,48,"Леонид",28,62361412,2015,"январь","male","Leonid","yanvarʹ"
"7249",7249,7249,49,"Антон",28,62361413,2015,"январь","male","Anton","yanvarʹ"
"7250",7250,7250,50,"Вячеслав",26,62361414,2015,"январь","male","Vyacheslav","yanvarʹ"
"7251",7251,7251,51,"Амир",26,62361415,2015,"январь","male","Amir","yanvarʹ"
"7252",7252,7252,52,"Захар",25,62361416,2015,"январь","male","Zakhar","yanvarʹ"
"7253",7253,7253,53,"Мирон",25,62361417,2015,"январь","male","Miron","yanvarʹ"
"7254",7254,7254,54,"Савелий",23,62361418,2015,"январь","male","Saveliy","yanvarʹ"
"7255",7255,7255,55,"Всеволод",21,62361419,2015,"январь","male","Vsevolod","yanvarʹ"
"7256",7256,7256,56,"Артур",20,62361420,2015,"январь","male","Artur","yanvarʹ"
"7257",7257,7257,57,"Адам",19,62361421,2015,"январь","male","Adam","yanvarʹ"
"7258",7258,7258,58,"Елисей",19,62361422,2015,"январь","male","Yelisey","yanvarʹ"
"7259",7259,7259,59,"Родион",18,62361423,2015,"январь","male","Rodion","yanvarʹ"
"7260",7260,7260,60,"Олег",18,62361424,2015,"январь","male","Oleg","yanvarʹ"
"7261",7261,7261,61,"Филипп",17,62361425,2015,"январь","male","Filipp","yanvarʹ"
"7262",7262,7262,62,"Даниэль",17,62361427,2015,"январь","male","Danielʹ","yanvarʹ"
"7263",7263,7263,63,"Вадим",17,62361428,2015,"январь","male","Vadim","yanvarʹ"
"7264",7264,7264,64,"Лука",17,62361429,2015,"январь","male","Luka","yanvarʹ"
"7265",7265,7265,65,"Демид",16,62361430,2015,"январь","male","Demid","yanvarʹ"
"7266",7266,7266,66,"Умар",15,62361431,2015,"январь","male","Umar","yanvarʹ"
"7267",7267,7267,67,"Святослав",15,62361432,2015,"январь","male","Svyatoslav","yanvarʹ"
"7268",7268,7268,68,"Ян",14,62361433,2015,"январь","male","Yan","yanvarʹ"
"7269",7269,7269,69,"Дамир",14,62361434,2015,"январь","male","Damir","yanvarʹ"
"7270",7270,7270,70,"Данил",14,62361435,2015,"январь","male","Danil","yanvarʹ"
"7271",7271,7271,71,"Тихон",13,62361436,2015,"январь","male","Tikhon","yanvarʹ"
"7272",7272,7272,72,"Борис",13,62361437,2015,"январь","male","Boris","yanvarʹ"
"7273",7273,7273,73,"Гордей",13,62361438,2015,"январь","male","Gordey","yanvarʹ"
"7274",7274,7274,74,"Артем",12,62361439,2015,"январь","male","Artem","yanvarʹ"
"7275",7275,7275,75,"Роберт",11,62361440,2015,"январь","male","Robert","yanvarʹ"
"7276",7276,7276,76,"Серафим",11,62361441,2015,"январь","male","Serafim","yanvarʹ"
"7277",7277,7277,77,"Мирослав",11,62361442,2015,"январь","male","Miroslav","yanvarʹ"
